Category,Representative Term,Biological Significance
Biological Process,Phosphatidylinositol-3-phosphate biosynthetic process,Regulation of phosphoinositide signaling
Biological Process,Protein dephosphorylation,Control of phosphorylation-dependent signaling
Biological Process,Negative regulation of cell proliferation,Tumor suppressor activity
Biological Process,Positive regulation of apoptotic process,Promotion of programmed cell death
Biological Process,Cell migration,Regulation of cell motility
Molecular Function,Lipid phosphatase activity,Catalytic removal of phosphate groups from phosphoinositides
Molecular Function,Protein phosphatase activity,Protein dephosphorylation
Molecular Function,Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity,Negative regulation of PI3K/AKT signaling
Cellular Component,Cytoplasm,Primary intracellular localization
Cellular Component,Plasma membrane,Membrane-associated signaling
Cellular Component,Cytosol,Cytoplasmic signaling functions
KEGG Pathway,PI3K-Akt signaling pathway,Cell survival and proliferation
KEGG Pathway,Pathways in cancer,Cancer-related signaling network
KEGG Pathway,Focal adhesion,Cell adhesion and migration
